id,name,phone
1,Chinwe Okafor,08012345678
2,Emeka Nwosu,08123456789
3,Aisha Bello,07098765432
4,Ifeanyi Obi,09011223344
5,Bola Adeyemi,08055667788
6,Titi Bakare,07033445566
7,Ahmed Musa,08199887766
8,Grace Uche,09077665544
9,Umar Abdullahi,08044556677
10,Funke Akindele,07022334455
11,Segun Ojo,08112233445
12,Nkechi Anya,09033445566
13,Yusuf Danjuma,08099887766
14,Sade Balogun,07088997766
15,Ibrahim Lawal,08133445522
16,Joy Eze,09044332211
17,Tunde Alabi,08088776655
18,Hauwa Sani,07066778899
19,Ebuka Okoye,08177665544
20,Mariam Olawale,09033445577
21,Chidi Nwankwo,08066778899
22,Kemi Adebayo,07044556677
23,Mustapha Bello,08122334455
24,Rita Nwachukwu,09077889900
25,Kolade Johnson,08011223344
26,Fatima Mohammed,07033445522
27,Benjamin Udo,08100998877
28,Ngozi Ekeh,09055667788
29,Sunday Iroko,08077889911
30,Zainab Yusuf,07022334411
